T,rho,c_p,mu,nu,k,alpha,Pr
K,kg/m^3,kJ/kg/delta_degC,N*s/m^2,m^2/s,W/m/delta_degC,m^2/s,
380,0.5863,2.06,127.1e-7,21.68e-6,24.6e-3,20.4e-6,1.06
400,0.5542,2.014,134.4e-7,24.25e-6,26.1e-3,23.4e-6,1.04
450,0.4902,1.98,152.5e-7,31.11e-6,29.9e-3,30.8e-6,1.01
500,0.4405,1.985,170.4e-7,38.68e-6,33.9e-3,38.8e-6,0.998
550,0.4005,1.997,188.4e-7,47.04e-6,37.9e-3,47.4e-6,0.993
600,0.3652,2.026,206.7e-7,56.6e-6,42.2e-3,57e-6,0.993
650,0.338,2.056,224.7e-7,66.48e-6,46.4e-3,66.8e-6,0.996
700,0.314,2.085,242.6e-7,77.26e-6,50.5e-3,77.1e-6,1
750,0.2931,2.119,260.4e-7,88.84e-6,54.9e-3,88.4e-6,1
800,0.2739,2.152,278.6e-7,101.7e-6,59.2e-3,100e-6,1.01
850,0.2579,2.186,296.9e-7,115.1e-6,63.7e-3,113e-6,1.02